Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
26,Dominick Barlow,SF,19,SAS,3,0,7.3,0.7,2,0.333,0,1,0,0.7,1,0.667,0.333,1.3,1.3,1,0.7,0.3,1,1,0.3,0,0,1,2.7
27,Harrison Barnes,PF,30,SAC,25,25,31.1,4.2,8.6,0.491,1.1,3.6,0.311,3.1,5,0.621,0.556,4.3,5.3,0.818,0.9,4.2,5.1,1.8,0.8,0.2,1.4,1.4,13.8
28,Scottie Barnes,PF,21,TOR,24,23,33.3,5.7,12.8,0.444,1.2,3.6,0.322,4.5,9.1,0.493,0.49,1.4,2,0.694,1.8,5.2,7,4.6,0.9,0.8,2.4,1.8,13.9
29,RJ Barrett,SG,22,NYK,27,27,34,6.5,15.9,0.408,1.6,5.4,0.288,4.9,10.5,0.47,0.457,4.3,5.6,0.78,0.9,4.8,5.6,3,0.6,0.1,2.3,2.3,18.9
30,Will Barton,SG,32,WAS,25,0,22,2.7,7.5,0.356,1.1,3.5,0.322,1.6,4,0.386,0.431,0.8,1,0.875,0.2,2.8,3.1,2.5,0.6,0.3,1,1.1,7.3
31,Charles Bassey,C,22,SAS,16,0,15.8,2.5,3.5,0.714,0.1,0.4,0.333,2.4,3.1,0.76,0.732,0.9,1.4,0.636,2,3.8,5.8,1.6,0.4,1.3,1.3,2.6,6
32,Keita Bates-Diop,SF,27,SAS,22,8,18.1,3.1,6,0.523,0.5,1.4,0.367,2.6,4.6,0.569,0.564,1.1,1.4,0.833,1.2,1.7,3,0.7,0.6,0.2,0.8,0.7,7.9
33,Nicolas Batum,PF,34,LAC,28,3,20.3,1.9,4.5,0.424,1.4,3.5,0.392,0.5,1,0.536,0.576,0.4,0.7,0.55,0.9,3.2,4.1,1.4,0.5,0.8,0.7,2,5.5
34,Darius Bazley,PF,22,OKC,19,0,16.1,2.2,4.9,0.436,0.6,1.5,0.393,1.6,3.5,0.455,0.495,0.7,1.5,0.5,1,2.8,3.8,0.9,0.6,1.3,0.6,1.3,5.6
35,Bradley Beal,SG,29,WAS,18,18,35.1,8.7,16.6,0.522,1.7,4.9,0.352,6.9,11.7,0.592,0.574,3.8,4.4,0.873,0.8,2.9,3.7,5.4,1.2,0.6,2.8,1.9,22.9
36,Malik Beasley,SG,26,UTA,29,5,27.4,5,11.9,0.422,3.2,8.3,0.39,1.8,3.6,0.495,0.558,0.7,0.8,0.826,0.6,3.3,3.9,1.6,1,0.1,1.1,1.3,14
37,MarJon Beauchamp,SF,22,MIL,15,6,15.5,2,5.2,0.385,0.8,2.7,0.293,1.2,2.5,0.486,0.462,0.5,0.7,0.7,0.9,2,2.9,0.4,0.5,0.1,1.2,1.7,5.3
38,Dāvis Bertāns,PF,30,DAL,10,0,7.6,1,2.8,0.357,0.9,2.3,0.391,0.1,0.5,0.2,0.518,0.5,0.6,0.833,0.2,0.6,0.8,0.4,0.1,0,0.3,1.3,3.4
